PRP$		403(PRP$)	  0(VBG)	  0(VBD)	  0(``)	  0(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  0(JJ)	  0(WP)	  0(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  0(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  1(PRP)	  0(RB)	  0(:)	  0(NNS)	  0(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
VBG		0(PRP$)	  472(VBG)	  7(VBD)	  0(``)	  19(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  87(JJ)	  0(WP)	  1(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  115(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  22(NNP)	  8(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  6(CD)	  0(EX)	  3(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
VBD		0(PRP$)	  4(VBG)	  1360(VBD)	  0(``)	  70(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  11(JJ)	  0(WP)	  1(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  45(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  17(NNP)	  5(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  1(CD)	  0(EX)	  4(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
``		0(PRP$)	  0(VBG)	  0(VBD)	  402(``)	  0(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  0(JJ)	  0(WP)	  0(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  0(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  0(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
VBN		0(PRP$)	  5(VBG)	  89(VBD)	  0(``)	  719(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  90(JJ)	  0(WP)	  0(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  78(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  2(RB)	  0(:)	  0(NNS)	  17(NNP)	  9(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  3(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
POS		0(PRP$)	  0(VBG)	  0(VBD)	  0(``)	  0(VBN)	  393(POS)	  0('')	  0(VBP)	  0(WDT)	  0(JJ)	  0(WP)	  5(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  0(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  0(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
''		0(PRP$)	  0(VBG)	  0(VBD)	  0(``)	  0(VBN)	  2(POS)	  391('')	  0(VBP)	  0(WDT)	  0(JJ)	  0(WP)	  0(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  0(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  0(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
VBP		0(PRP$)	  2(VBG)	  8(VBD)	  0(``)	  0(VBN)	  0(POS)	  0('')	  548(VBP)	  0(WDT)	  4(JJ)	  0(WP)	  2(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  71(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  8(NNP)	  72(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  1(CD)	  0(EX)	  1(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
WDT		0(PRP$)	  0(VBG)	  0(VBD)	  0(``)	  0(VBN)	  0(POS)	  0('')	  0(VBP)	  154(WDT)	  0(JJ)	  0(WP)	  0(VBZ)	  3(DT)	  0(#)	  0(RP)	  0($)	  1(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  1(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  40(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
JJ		0(PRP$)	  4(VBG)	  3(VBD)	  0(``)	  27(VBN)	  0(POS)	  0('')	  2(VBP)	  0(WDT)	  2518(JJ)	  0(WP)	  0(VBZ)	  7(DT)	  0(#)	  0(RP)	  0($)	  181(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  1(TO)	  0(PRP)	  18(RB)	  0(:)	  0(NNS)	  161(NNP)	  5(VB)	  0(WRB)	  3(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  10(CD)	  0(EX)	  8(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  1(JJR)	  0(SYM)	  0(UH)	  
WP		0(PRP$)	  0(VBG)	  0(VBD)	  0(``)	  0(VBN)	  0(POS)	  0('')	  0(VBP)	  0(WDT)	  0(JJ)	  135(WP)	  0(VBZ)	  0(DT)	  0(#)	  0(RP)	  0($)	  0(NN)	  0())	  0(()	  0(FW)	  0(,)	  0(.)	  0(TO)	  0(PRP)	  0(RB)	  0(:)	  0(NNS)	  0(NNP)	  0(VB)	  0(WRB)	  0(CC)	  0(LS)	  0(PDT)	  0(RBS)	  0(RBR)	  0(CD)	  0(EX)	  0(IN)	  0(WP$)	  0(MD)	  0(NNPS)	  0(JJS)	  0(JJR)	  0(SYM)	  0(UH)	  
